dep_relation;dep_insee;ville_relation;ville_node;ville_insee;lat;lon;name;name_norm;population;source_population
7387;01;139526;36786855;01024;46.2893840;5.1635500;Attignat;ATTIGNAT;2936;INSEE 2013
7387;01;7793749;26696318;01025;46.3160115;4.9453034;Bâgé-la-Ville;BAGE LA VILLE;3040;INSEE 2013
7387;01;139510;36786856;01026;46.3082000;4.9294300;Bâgé-le-Châtel;BAGE LE CHATEL;800;
7387;01;149315;36786858;01027;45.8333789;5.0969884;Balan;BALAN;2348;INSEE 2013
7387;01;142161;36786857;01028;46.1104066;4.9014438;Baneins;BANEINS;572;INSEE 2013
7387;01;138994;36786860;01029;46.4111987;5.2646170;Beaupont;BEAUPONT;624;INSEE 2013
7387;01;145703;36786859;01030;45.9996000;4.7514200;Beauregard;BEAUREGARD;870;INSEE 2013
7387;01;36209;26698472;01031;46.2418811;5.6293467;Bellignat;BELLIGNAT;3537;INSEE 2013
7387;01;149288;1394156586;01032;45.8677365;5.1280072;Béligneux;BELIGNEUX;;
7387;01;8848196;26691944;01033;46.1085565;5.8259295;Bellegarde-sur-Valserine;BELLEGARDE SUR VALSERINE;11790;INSEE 2013
7387;01;146650;26696526;01034;45.7607580;5.6861466;Belley;BELLEY;8755;INSEE 2013
7387;01;30232;36786862;01035;46.2525000;5.7775700;Belleydoux;BELLEYDOUX;321;INSEE 2013
7387;01;146773;36786864;01037;45.8279000;5.4737800;Bénonces;BENONCES;275;INSEE 2013
7387;01;139251;36786863;01038;46.3191000;5.2840900;Bény;BENY;724;INSEE 2013
7387;01;147858;36786866;01039;45.8553089;5.7496660;Béon;BEON;373;INSEE 2013
7387;01;139161;36786865;01040;46.3662547;5.0460905;Béréziat;BEREZIAT;445;INSEE 2013
7387;01;146766;36786868;01041;45.9426142;5.3640601;Bettant;BETTANT;724;INSEE 2013
7387;01;140255;36786867;01042;46.2198175;4.8458111;Bey;BEY;245;INSEE 2013
7387;01;149565;26697406;01043;45.8400098;5.0008866;Beynost;BEYNOST;4475;INSEE 2013
7387;01;145494;36786870;01044;46.0779618;5.7841740;Billiat;BILLIAT;484;INSEE 2013
7387;01;147999;36786869;01045;45.9526970;5.0393982;Birieux;BIRIEUX;236;INSEE 2013
7387;01;140029;36786872;01046;46.2165185;4.9433210;Biziat;BIZIAT;797;INSEE 2013
7387;01;146708;1838395675;01047;45.8469121;5.2487121;Blyes;BLYES;886;INSEE 2013
7387;01;-1;2378233445;01048;46.1588379;5.3878125;Bohas;BOHAS;;
7387;01;149566;26698094;01049;45.8416901;5.0328806;La Boisse;LA BOISSE;2928;INSEE 2013
7387;01;138979;36786876;01050;46.3812000;4.9953300;Boissey;BOISSEY;288;INSEE 2013
7387;01;142544;36786873;01051;46.1924000;5.4732700;Bolozon;BOLOZON;94;INSEE 2013
7387;01;145614;36786874;01052;46.0226664;4.9910219;Bouligneux;BOULIGNEUX;309;INSEE 2013
7387;01;140253;26691470;01053;46.2051192;5.2250324;Bourg-en-Bresse;BOURG EN BRESSE;40088;INSEE 2013
7387;01;149269;36786879;01054;45.8905000;5.1616500;Bourg-Saint-Christophe;BOURG SAINT CHRISTOPHE;1173;INSEE 2013
7387;01;138962;36786877;01057;46.4070777;4.9108811;Boz;BOZ;496;INSEE 2013
7387;01;147869;36786883;01059;45.9476000;5.7231000;Brénaz;BRENAZ;92;INSEE 2013
7387;01;142223;36786884;01060;46.0597000;5.6051500;Brénod;BRENOD;544;INSEE 2013
7387;01;146597;36786881;01061;45.7206616;5.6954688;Brens;BRENS;1158;INSEE 2013
7387;01;149289;36786882;01062;45.8654479;5.0952039;Bressolles;BRESSOLLES;709;INSEE 2013
7387;01;140522;36786887;01063;46.1727000;5.5530900;Brion;BRION;517;INSEE 2013
7387;01;146643;36786888;01064;45.7826302;5.4589959;Briord;BRIORD;893;INSEE 2013
7387;01;140123;36786885;01065;46.2093747;5.1333778;Buellas;BUELLAS;1669;INSEE 2013
7387;01;146918;36786991;01066;45.8456000;5.5615900;La Burbanche;LA BURBANCHE;72;INSEE 2013
7387;01;142153;36786886;01067;46.1196014;5.4994629;Ceignes;CEIGNES;265;INSEE 2013
7387;01;145505;36786892;01068;46.0802000;5.4646000;Cerdon;CERDON;741;INSEE 2013
7387;01;142146;36786891;01069;46.1329000;5.2645800;Certines;CERTINES;1445;INSEE 2013
7387;01;139261;36786890;01071;46.3168303;6.0697412;Cessy;CESSY;3992;INSEE 2013
7387;01;140326;26696579;01072;46.1773941;5.3242942;Ceyzériat;CEYZERIAT;2738;INSEE 2013
7387;01;103775;36786889;01073;45.8352447;5.7262764;Ceyzérieu;CEYZERIEU;929;INSEE 2013
7387;01;145588;36786896;01074;45.9963055;5.1710728;Chalamont;CHALAMONT;2322;INSEE 2013
7387;01;145568;36786895;01075;46.0304931;4.8045350;Chaleins;CHALEINS;1165;INSEE 2013
7387;01;147996;36786894;01076;45.9549597;5.5313220;Chaley;CHALEY;127;INSEE 2013
7387;01;142155;36786893;01077;46.1252000;5.4636500;Challes-la-Montagne;CHALLES LA MONTAGNE;179;INSEE 2013
7387;01;140514;36786900;01078;46.1813779;5.9754766;Challex;CHALLEX;1225;INSEE 2013
7387;01;148006;36786899;01079;45.9053000;5.6799800;Champagne-en-Valromey;CHAMPAGNE EN VALROMEY;765;INSEE 2013
7387;01;5756895;36786898;01080;46.0167000;5.5963900;Champdor;CHAMPDOR;464;INSEE 2013
7387;01;140032;36786897;01081;46.1965678;5.8127891;Champfromier;CHAMPFROMIER;677;INSEE 2013
7387;01;145640;36786904;01082;46.0051563;5.7852059;Chanay;CHANAY;617;INSEE 2013
7387;01;145099;36786902;01083;46.0970000;4.8506400;Chaneins;CHANEINS;820;INSEE 2013
7387;01;140129;36786901;01084;46.1840000;5.0289200;Chanoz-Châtenay;CHANOZ CHATENAY;706;INSEE 2013
7387;01;145112;36786992;01085;46.0694732;5.0236073;La Chapelle-du-Châtelard;LA CHAPELLE DU CHATELARD;341;INSEE 2013
7387;01;30261;36786909;01087;46.1828814;5.6850819;Charix;CHARIX;294;INSEE 2013
7387;01;149287;36786910;01088;45.8697000;5.2241200;Charnoz-sur-Ain;CHARNOZ SUR AIN;911;INSEE 2013
7387;01;145678;36786911;01089;45.9732000;5.3052200;Château-Gaillard;CHATEAU GAILLARD;1818;INSEE 2013
7387;01;145587;36786912;01090;46.0341998;5.2010764;Châtenay;CHATENAY;352;INSEE 2013
7387;01;140530;26694513;01091;46.1438962;5.7985185;Châtillon-en-Michaille;CHATILLON EN MICHAILLE;3120;INSEE 2013
7387;01;145677;36786905;01092;45.9733894;5.2550896;Châtillon-la-Palud;CHATILLON LA PALUD;1562;INSEE 2013
7387;01;142241;1669426651;01093;46.1191397;4.9580413;Châtillon-sur-Chalaronne;CHATILLON SUR CHALARONNE;4922;INSEE 2013
7387;01;139111;36786906;01094;46.4302000;4.9933500;Chavannes-sur-Reyssouze;CHAVANNES SUR REYSSOUZE;680;INSEE 2013
7387;01;6492580;36786907;01095;46.2635175;5.4268336;Chavannes-sur-Suran;CHAVANNES SUR SURAN;644;INSEE 2013
7387;01;140126;36786908;01096;46.1975650;5.0608610;Chaveyriat;CHAVEYRIAT;927;INSEE 2013
7387;01;147865;36786917;01097;45.8830866;5.7167159;Chavornay;CHAVORNAY;200;
7387;01;6788792;36786918;01098;45.8058000;5.6829900;Bons;BONS;744;INSEE 2013
7387;01;147335;540390249;01099;45.8952784;5.2541457;Chazey-sur-Ain;CHAZEY SUR AIN;1464;INSEE 2013
7387;01;146682;36786920;01100;45.8266000;5.6069500;Cheignieu-la-Balme;CHEIGNIEU LA BALME;157;INSEE 2013
7387;01;142222;36786913;01101;46.1101000;5.5812600;Chevillard;CHEVILLARD;162;INSEE 2013
7387;01;138965;36786914;01102;46.3809591;4.9483084;Chevroux;CHEVROUX;933;INSEE 2013
7387;01;139595;36786915;01103;46.2793000;6.0361000;Chevry;CHEVRY;1235;INSEE 2013
7387;01;139873;36786916;01104;46.2222000;5.8665000;Chézery;CHEZERY;434;INSEE 2013
7387;01;148033;36786926;01105;45.9206010;4.8826026;Civrieux;CIVRIEUX;1362;INSEE 2013
7387;01;142551;36786925;01106;46.2044457;5.4467536;Cize;CIZE;170;INSEE 2013
7387;01;146758;36786928;01107;45.9081000;5.4287700;Cleyzieu;CLEYZIEU;135;INSEE 2013
7387;01;139003;36786927;01108;46.3828000;5.3452600;Coligny;COLIGNY;1154;INSEE 2013
7387;01;142144;36786922;01109;46.1376178;5.9034130;Collonges;COLLONGES;1897;INSEE 2013
7387;01;146609;36786921;01110;45.7331000;5.6230100;Colomieu;COLOMIEU;115;INSEE 2013
7387;01;146757;36786924;01111;45.8927027;5.4720766;Conand;CONAND;104;INSEE 2013
7387;01;142672;36786923;01112;46.1092000;5.5508500;Condamine;CONDAMINE;404;INSEE 2013
7387;01;140523;36786934;01113;46.1562000;5.0795200;Condeissiat;CONDEISSIAT;756;INSEE 2013
7387;01;140752;36786933;01114;46.1498392;5.8222556;Confort;CONFORT;525;INSEE 2013
7387;01;139598;36786936;01115;46.2676000;5.0655100;Confrançon;CONFRANCON;1157;INSEE 2013
7387;01;146779;36786935;01116;45.8060185;5.6277025;Contrevoz;CONTREVOZ;539;INSEE 2013
7387;01;146572;36786930;01117;45.7262000;5.6077200;Conzieu;CONZIEU;135;INSEE 2013
7387;01;75655;36786929;01118;45.9668000;5.8220800;Corbonod;CORBONOD;1176;INSEE 2013
7387;01;145530;5312373545;01119;46.0336904;5.5737618;Corcelles;CORCELLES;243;INSEE 2013
7387;01;145586;36786931;01121;46.0299000;5.4990400;Corlier;CORLIER;124;INSEE 2013
7387;01;147872;36786943;01122;45.9515680;5.6120520;Cormaranche-en-Bugey;CORMARANCHE EN BUGEY;859;INSEE 2013
7387;01;140024;36786944;01123;46.2401877;4.8319922;Cormoranche-sur-Saône;CORMORANCHE SUR SAONE;1058;INSEE 2013
7387;01;139112;36786941;01124;46.4484000;5.2327000;Cormoz;CORMOZ;625;INSEE 2013
7387;01;139617;36786942;01125;46.2439833;5.4823899;Corveissiat;CORVEISSIAT;602;INSEE 2013
7387;01;139200;36786939;01127;46.3307000;5.3691400;Courmangoux;COURMANGOUX;507;INSEE 2013
7387;01;139129;36786940;01128;46.4596000;5.0998800;Courtes;COURTES;266;INSEE 2013
7387;01;145685;36786937;01129;45.9637000;5.1900100;Crans;CRANS;269;INSEE 2013
7387;01;9154702;36786938;01130;46.3076000;5.1650900;Cras-sur-Reyssouze;CRAS SUR REYSSOUZE;1256;INSEE 2013
7387;01;146782;36786951;01133;45.7836739;5.7655296;Cressin-Rochefort;CRESSIN ROCHEFORT;374;INSEE 2013
7387;01;139570;1493262808;01134;46.2775889;4.8924243;Crottet;CROTTET;1722;INSEE 2013
7387;01;139262;36786949;01135;46.2806871;6.0134696;Crozet;CROZET;1862;INSEE 2013
7387;01;140026;36786950;01136;46.2240190;4.8817863;Cruzilles-lès-Mépillat;CRUZILLES LES MEPILLAT;818;INSEE 2013
7387;01;75650;26695344;01138;45.8476517;5.7809063;Culoz;CULOZ;2909;INSEE 2013
7387;01;148926;36786947;01139;46.4746753;5.1577117;Curciat-Dongalon;CURCIAT DONGALON;456;INSEE 2013
7387;01;139596;36786948;01140;46.2705264;5.0896269;Curtafond;CURTAFOND;702;INSEE 2013
7387;01;146776;36786945;01141;45.8172000;5.6834200;Cuzieu;CUZIEU;407;INSEE 2013
7387;01;146688;26698215;01142;45.8541000;5.0749800;Dagneux;DAGNEUX;4099;INSEE 2013
7387;01;139006;26698127;01143;46.3553934;6.1426587;Divonne-les-Bains;DIVONNE LES BAINS;8160;INSEE 2013
7387;01;139174;36786946;01144;46.3374556;4.9890710;Dommartin;DOMMARTIN;841;INSEE 2013
7387;01;148362;36786959;01145;46.0718037;5.2054240;Dompierre-sur-Veyle;DOMPIERRE SUR VEYLE;1226;INSEE 2013
7387;01;142237;36786960;01146;46.1402717;4.8997271;Dompierre-sur-Chalaronne;DOMPIERRE SUR CHALARONNE;389;INSEE 2013
7387;01;138995;36786958;01147;46.4194398;5.2944932;Domsure;DOMSURE;473;INSEE 2013
7387;01;21591;26695006;01148;46.3187758;5.6597536;Dortan;DORTAN;1996;INSEE 2013
7387;01;145679;36786957;01149;45.9893837;5.3733069;Douvres;DOUVRES;962;INSEE 2013
7387;01;140252;36786956;01150;46.2182000;5.3681000;Drom;DROM;209;INSEE 2013
7387;01;145499;36786955;01151;46.0592575;5.3176028;Druillat;DRUILLAT;1134;INSEE 2013
7387;01;30233;36786954;01152;46.2108373;5.7403729;Échallon;ECHALLON;772;INSEE 2013
7387;01;139202;36786953;01153;46.3094000;6.0398700;Échenevex;ECHENEVEX;1631;INSEE 2013
7387;01;139176;36786967;01154;46.3344407;5.1858354;Étrez;ETREZ;803;INSEE 2013
7387;01;145688;36786966;01155;45.9605000;5.4974200;Évosges;EVOSGES;140;INSEE 2013
7387;01;147336;36786965;01156;45.9030000;5.1249700;Faramans;FARAMANS;681;INSEE 2013
7387;01;149049;36786964;01157;46.0189382;4.7609540;Fareins;FAREINS;2137;INSEE 2013
7387;01;140760;36786963;01158;46.1683026;5.9059776;Farges;FARGES;854;INSEE 2013
7387;01;139173;26695945;01159;46.3360148;4.8875665;Feillens;FEILLENS;3115;INSEE 2013
7387;01;140088;26698556;01160;46.2554018;6.1074087;Ferney-Voltaire;FERNEY VOLTAIRE;8452;INSEE 2013
7387;01;146672;4389352323;01162;45.8087800;5.7346144;Flaxieu;FLAXIEU;63;INSEE 2013
7387;01;138993;36786961;01163;46.3703069;5.1757454;Foissiat;FOISSIAT;1912;INSEE 2013
7387;01;145101;36786978;01165;46.0730429;4.8090252;Francheleins;FRANCHELEINS;1323;INSEE 2013
7387;01;145674;36786977;01166;45.9913112;4.7730096;Frans;FRANS;1984;INSEE 2013
7387;01;140130;36786980;01167;46.2056118;4.8410198;Garnerans;GARNERANS;656;INSEE 2013
7387;01;142160;36786979;01169;46.1189929;4.7860479;Genouilleux;GENOUILLEUX;609;INSEE 2013
7387;01;36208;36786982;01171;46.2555561;5.6176569;Géovreisset;GEOVREISSET;903;INSEE 2013
7387;01;139255;36786984;01172;46.3102886;5.4485852;Germagnat;GERMAGNAT;145;INSEE 2013
7387;01;139156;26694644;01173;46.3324378;6.0588831;Gex;GEX;10372;INSEE 2013
7387;01;140031;36786983;01174;46.2248289;5.7729124;Giron;GIRON;162;INSEE 2013
7387;01;138961;36786970;01175;46.4185000;4.9400000;Gorrevod;GORREVOD;799;INSEE 2013
7387;01;149464;36787003;01176;46.0336263;5.6742349;Le Grand-Abergement;LE GRAND ABERGEMENT;109;INSEE 2013
7387;01;140085;36786969;01177;46.2014000;5.4315900;Grand-Corent;GRAND CORENT;177;INSEE 2013
7387;01;139571;36786972;01179;46.2561000;4.8521900;Grièges;GRIEGES;1899;INSEE 2013
7387;01;139535;36786971;01180;46.3294000;6.1139400;Grilly;GRILLY;762;INSEE 2013
7387;01;26640;36786974;01181;46.2220000;5.6082500;Groissiat;GROISSIAT;1143;INSEE 2013
7387;01;146607;36786973;01182;45.7133862;5.5689047;Groslée;GROSLEE;353;INSEE 2013
7387;01;142221;36786976;01183;46.1073691;4.7804287;Guéreins;GUEREINS;1308;INSEE 2013
7387;01;9107134;2744067361;01185;45.9769238;5.6004030;Hauteville-Lompnes;HAUTEVILLE LOMPNES;4044;INSEE 2013
7387;01;147339;36786993;01186;45.9020215;5.5346165;Hostiaz;HOSTIAZ;82;INSEE 2013
7387;01;5756892;36786994;01187;45.9973219;5.6925152;Hotonnes;HOTONNES;306;INSEE 2013
7387;01;140330;36786995;01188;46.1881793;4.8883585;Illiat;ILLIAT;570;INSEE 2013
7387;01;145495;36786996;01189;46.0508594;5.8030015;Injoux-Génissiat;INJOUX GENISSIAT;1055;INSEE 2013
7387;01;146626;36786997;01190;45.7833704;5.5721971;Innimond;INNIMOND;114;INSEE 2013
7387;01;145572;36786998;01191;46.0383000;5.5231800;Izenave;IZENAVE;164;INSEE 2013
7387;01;140030;36786999;01192;46.2205657;5.5551090;Izernore;IZERNORE;2278;INSEE 2013
7387;01;145866;36787000;01193;45.6515000;5.6407200;Izieu;IZIEU;200;
7387;01;145681;26695283;01194;45.9851400;4.7567624;Jassans-Riottier;JASSANS RIOTTIER;5976;INSEE 2013
7387;01;140086;36786985;01195;46.2122209;5.3255283;Jasseron;JASSERON;1552;INSEE 2013
7387;01;139154;36786986;01196;46.3651000;5.1217100;Jayat;JAYAT;1049;INSEE 2013
7387;01;142150;36786987;01197;46.1443186;5.3303400;Journans;JOURNANS;324;INSEE 2013
